loyalty_number,primary_segment,next_best_action,priority_band,retention_priority_score,recovery_potential_band,recovery_potential_score_v2,clv,loyalty_value_at_risk,clv_tier,loyalty_card,province,city,behavioral_churn,formal_churn,churn_status_group,active_month_rate,inactive_months,flights_last_6m,points_collector_flag,sharp_drop_flag,seasonal_flag
652627,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,83325.38,83325.38,Premium Value,Star,Manitoba,Winnipeg,1,1,Confirmed Churn,0.0,24,0,0,0,0
844145,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,74228.52,74228.52,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
767366,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,50,73225.96,73225.96,Premium Value,Aurora,Quebec,Montreal,1,1,Confirmed Churn,0.1666666666666666,20,0,0,0,1
838263,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,67907.27,67907.27,Premium Value,Aurora,Nova Scotia,Halifax,1,0,Silent Risk,0.0,24,0,0,0,0
672917,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,58166.55,58166.55,Premium Value,Star,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
737027,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,49221.43,49221.43,Premium Value,Nova,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
529331,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,49221.43,49221.43,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
943393,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,48356.96,48356.96,Premium Value,Nova,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
257194,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,46770.95,46770.95,Premium Value,Nova,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
258296,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,High Recovery Potential,85,44856.11,44856.11,Premium Value,Aurora,Quebec,Montreal,1,0,Silent Risk,0.2916666666666667,17,0,0,0,0
795743,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,43019.01,43019.01,Premium Value,Star,Ontario,Thunder Bay,1,1,Confirmed Churn,0.0,24,0,0,0,0
515790,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,42389.01,42389.01,Premium Value,Nova,New Brunswick,Moncton,1,1,Confirmed Churn,0.0,24,0,0,0,0
248497,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,41143.09,41143.09,Premium Value,Aurora,British Columbia,West Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
767971,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,40636.67,40636.67,Premium Value,Aurora,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
969719,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,50,40235.97,40235.97,Premium Value,Star,British Columbia,West Vancouver,1,1,Confirmed Churn,0.0416666666666666,23,0,0,0,0
148810,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,40224.01,40224.01,Premium Value,Nova,Ontario,Toronto,1,0,Silent Risk,0.0,24,0,0,0,0
675419,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,39400.19,39400.19,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
851979,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,39033.08,39033.08,Premium Value,Star,Ontario,Ottawa,1,0,Silent Risk,0.0,24,0,0,0,0
302827,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,38230.21,38230.21,Premium Value,Aurora,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
294289,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,36897.8,36897.8,Premium Value,Nova,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
231080,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,50,36860.73,36860.73,Premium Value,Nova,Quebec,Montreal,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,1
